responseid,orig_cluster,orig_label,ias,iats,c42_km3,c42_pam3
Anonymized,3,Low Accuracy / Average Attention,77,47,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,52,49,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,84,39,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,80,50,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,75,41,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,89,65,Hypervigilant,Average
Anonymized,1,Average Accuracy / High Attention,83,55,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,90,42,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,73,47,Uncertain,Average
Anonymized,3,Low Accuracy / Average Attention,65,57,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,72,82,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,83,31,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,63,23,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,85,47,Hypervigilant,Average
Anonymized,2,High Accuracy / Low Attention,79,21,Efficient,Low Attention
Anonymized,2,High Accuracy / Low Attention,76,23,Efficient,Low Attention
Anonymized,3,Low Accuracy / Average Attention,60,43,Uncertain,Low Attention
Anonymized,2,High Accuracy / Low Attention,80,44,Efficient,Average
Anonymized,2,High Accuracy / Low Attention,86,43,Efficient,Average
Anonymized,1,Average Accuracy / High Attention,77,58,Hypervigilant,Average
Anonymized,3,Low Accuracy / Average Attention,74,48,Uncertain,Average
Anonymized,2,High Accuracy / Low Attention,73,32,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,71,76,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,83,42,Efficient,Average
Anonymized,3,Low Accuracy / Average Attention,65,40,Uncertain,Low Attention
Anonymized,3,Low Accuracy / Average Attention,68,46,Uncertain,Average
Anonymized,1,Average Accuracy / High Attention,86,73,Hypervigilant,High Attention
Anonymized,2,High Accuracy / Low Attention,80,38,Efficient,Low Attention
Anonymized,1,Average Accuracy / High Attention,82,58,Hypervigilant,Average
