"item","coef","abs_coef","selected"
"iats_17",0.17030149724178,0.17030149724178,TRUE
"ias_19",-0.106714645911451,0.106714645911451,TRUE
"ias_2",-0.0909405179887681,0.0909405179887681,TRUE
"iats_3",0.0607906618943979,0.0607906618943979,TRUE
"iats_1",0.050266782471819,0.050266782471819,TRUE
"ias_5",-0.0471359414360793,0.0471359414360793,TRUE
"iats_11",0.0457973433106276,0.0457973433106276,TRUE
"iats_21",0.0408901442217725,0.0408901442217725,TRUE
"iats_18",0.0300452667829746,0.0300452667829746,TRUE
"iats_16",0.0242148117448645,0.0242148117448645,TRUE
"ias_4",-0.0241599991568792,0.0241599991568792,TRUE
"iats_15",0.0223544130237673,0.0223544130237673,TRUE
"ias_3",-0.015690761005504,0.015690761005504,TRUE
"iats_19",0.0110586621756524,0.0110586621756524,TRUE
"iats_9",-0.00939581309991528,0.00939581309991528,TRUE
"ias_21",0.00295532789264497,0.00295532789264497,TRUE
"ias_1",0,0,FALSE
"ias_6",0,0,FALSE
"ias_7",0,0,FALSE
"ias_8",0,0,FALSE
"ias_9",0,0,FALSE
"ias_10",0,0,FALSE
"ias_11",0,0,FALSE
"ias_12",0,0,FALSE
"ias_13",0,0,FALSE
"ias_14",0,0,FALSE
"ias_15",0,0,FALSE
"ias_16",0,0,FALSE
"ias_17",0,0,FALSE
"ias_18",0,0,FALSE
"ias_20",0,0,FALSE
"iats_2",0,0,FALSE
"iats_4",0,0,FALSE
"iats_5",0,0,FALSE
"iats_6",0,0,FALSE
"iats_7",0,0,FALSE
"iats_8",0,0,FALSE
"iats_10",0,0,FALSE
"iats_12",0,0,FALSE
"iats_13",0,0,FALSE
"iats_14",0,0,FALSE
"iats_20",0,0,FALSE
