"Model","Classes","LogLik","AIC","AWE","BIC","CAIC","CLC","KIC","SABIC","ICL","Entropy","prob_min","prob_max","n_min","n_max","BLRT_val","BLRT_p"
1,1,-6540.45935193848,13088.918703877,13144.7189730143,13107.8188384456,13111.8188384456,13082.918703877,13095.918703877,13095.116215455,-13107.8188384456,1,1,1,1,1,NA,NA
1,2,-6534.18379597305,13082.3675919461,13182.9078860583,13115.4428274413,13122.4428274413,13068.9777688242,13092.3675919461,13093.2132372076,-13588.4480855238,0.305088439057102,0.733800145001497,0.797750587210639,0.459783913565426,0.540216086434574,12.5511119308576,0.0099009900990099
1,3,-6509.1262897484,13038.2525794968,13181.4258024052,13085.5029159185,13095.5029159185,13019.5800294318,13051.2525794968,13053.7463584418,-13397.7686914828,0.66372496749497,0.679369581924916,0.880877162262641,0.0912364945978391,0.576230492196879,50.115012449296,0.0099009900990099
1,4,-6501.29487434895,13028.5897486979,13215.0441202473,13090.0151860461,13103.0151860461,13003.9862518449,13044.5897486979,13048.7316613264,-13422.5482495092,0.698251573490767,0.366701039612985,0.910675967213775,0.0240096038415366,0.597839135654262,15.6628307989013,0.0099009900990099
1,5,-6501.80702397557,13035.6140479511,13265.5488220713,13111.2145862258,13127.2145862258,13004.8803503803,13054.6140479511,13060.4040942632,-13600.2264222062,0.633151214587291,0.102026133993277,0.902056273440975,0.014405762304922,0.590636254501801,-1.02429925323122,0.99009900990099
1,6,-6489.90606385192,13017.8121277038,13291.0192304502,13107.587766905,13126.587766905,12981.1563033598,13039.8121277038,13047.2503076994,-13560.3806579285,0.672087827991625,0,0.880822213482161,0,0.48859543817527,23.8019202473024,0.0198019801980198
6,1,-6537.90322366365,13085.8064473273,13156.056783749,13109.4316155381,13114.4316155381,13077.8064473273,13093.8064473273,13093.5533367998,-13109.4316155381,1,1,1,1,1,NA,NA
6,2,-6510.79641597216,13043.5928319443,13201.6866094834,13095.5682020082,13106.5682020082,13022.449794533,13057.5928319443,13060.6359887839,-13468.3542477148,0.428481294318903,0.802623993444818,0.827992930430734,0.498199279711885,0.501800720288115,54.2136153829833,0.0099009900990099
6,3,-6510.04720541658,13054.0944108332,13298.9679827117,13134.41998275,13151.41998275,13020.8719827883,13074.0944108332,13080.4338350397,-13807.5187231087,0.388785977560612,0.464822199078796,0.87356123167387,0.187274909963986,0.617046818727491,1.4984211111605,0.762376237623762
6,4,-6485.45539543327,13016.9107908665,13348.3304587981,13125.5865646364,13148.5865646364,12971.8426704747,13042.9107908665,13052.5464824401,-13857.5433777774,0.465939804070491,0.376524715841938,0.902505720719565,0.163265306122449,0.410564225690276,49.1836199666341,0.0099009900990099
6,5,-6481.05987929031,13020.1197585806,13438.2552867436,13157.1457342035,13186.1457342035,12963.0361816634,13052.1197585806,13065.0517175212,-13996.1504300045,0.458211541364861,0.410743969016212,0.904331395788259,0.105642256902761,0.301320528211285,8.79103228590975,0.198019801980198
6,6,-6478.44182300089,13026.8836460018,13531.6005238258,13192.2598234776,13227.2598234776,12957.9191231295,13064.8836460018,13081.1118723094,-14026.846732021,0.517738563856374,0.398584649905609,0.847886607513802,0.0696278511404562,0.308523409363746,5.23611257883567,0.594059405940594
