"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
77,47,2,0.130557225197262,0.866500386724149,0.00294238807858934,3
52,49,2,0.0203243418806935,0.978235810947553,0.00143984717175381,3
84,39,1,0.682175461508824,0.317674126322166,0.000150412169010178,2
80,50,2,0.0704297384489405,0.920545695412115,0.00902456613894418,1
75,41,2,0.422828483466663,0.576876139221425,0.000295377311911208,3
89,65,3,0.000766939180651933,0.417126054307682,0.582107006511666,1
83,55,2,0.0205714156494649,0.931735180653286,0.047693403697249,1
90,42,1,0.563377690034047,0.435915015993525,0.000707293972428693,2
73,47,2,0.10698269487656,0.890610969023632,0.00240633609980736,3
65,57,2,0.00436197891448815,0.963739021028704,0.0318990000568078,3
72,82,3,6.99345627973484e-08,0.0121472019769918,0.987852728088445,1
83,31,1,0.951105093028183,0.048892863396488,2.0435753290966e-06,2
63,23,1,0.983623939683812,0.0163760399129488,2.04032395288917e-08,3
85,47,2,0.190799931123552,0.804882991516223,0.00431707736022499,2
79,21,1,0.996192153592485,0.00380783986287655,6.54463817557795e-09,2
76,23,1,0.992091194475909,0.00790878481292414,2.07111669558508e-08,2
60,43,2,0.151117872350795,0.848548647248896,0.000333480400308723,3
80,44,2,0.293857506759893,0.704974207576295,0.00116828566381201,2
86,43,2,0.436748451296824,0.562275319644536,0.000976229058640187,2
77,58,2,0.00614869059833431,0.913161006617286,0.08069030278438,1
74,48,2,0.0871468387567529,0.909354637740747,0.00349852350250057,3
73,32,1,0.892730430575147,0.107266164417177,3.40500767550247e-06,2
71,76,3,2.11956597982754e-06,0.0715122027439342,0.928485677690086,1
83,42,2,0.464779407750658,0.534639093632422,0.000581498616920196,2
65,40,2,0.355533644204012,0.644327815360289,0.000138540435698437,3
68,46,2,0.107030465513269,0.891623353433354,0.00134618105337661,3
86,73,3,1.191685093568e-05,0.0736450127040193,0.926343070445045,1
80,38,1,0.694223279268958,0.305691085311048,8.56354199943767e-05,2
82,58,2,0.00793420533851219,0.887686946181808,0.10437884847968,1
78,35,1,0.825557449374329,0.174424630361128,1.79202645428222e-05,2
70,48,2,0.0707788283979278,0.926385341296829,0.00283583030524279,3
68,50,2,0.0371459727008427,0.958122371690878,0.00473165560827904,3
75,54,2,0.017852642775328,0.959036942256535,0.0231104149681366,1
105,30,1,0.988976865045076,0.0110219308023225,1.20415260124674e-06,2
93,26,1,0.992946745472599,0.00705313585570301,1.18671697736045e-07,2
73,28,1,0.962642613532957,0.0373570239257276,3.62541315898128e-07,2
66,47,2,0.0746347629211306,0.92369227766093,0.0016729594179399,3
80,56,2,0.0130992964793254,0.932803324184666,0.0540973793360087,1
93,43,1,0.535269086049609,0.46353033417421,0.00120057977618022,2
92,55,2,0.032753034864919,0.89097370071061,0.0762732644244714,1
91,61,2,0.00429439186920751,0.67354948882696,0.322156119303832,1
66,56,2,0.00615433308872608,0.968604336365427,0.0252413305458475,3
