"scale_1","scale_2","correlation"
"IATS","IATS",1
"IATS","TAS",0.339709354517073
"IATS","PHQ9",0.331482303355898
"IATS","STAI",0.289219993321263
"IATS","SSS8",0.406098468959498
"IATS","PCS",0.332095807346564
"IAS","IATS",-0.078220002609854
"IAS","IAS",1
"IAS","TAS",-0.369062552623619
"IAS","PHQ9",-0.206339366271165
"IAS","STAI",-0.251319544577752
"IAS","SSS8",-0.129400409436412
"IAS","PCS",-0.0784478760183497
"TAS","TAS",1
"PHQ9","TAS",0.510980873631944
"PHQ9","PHQ9",1
"PHQ9","STAI",0.793671094796672
"PHQ9","SSS8",0.674342829890495
"GAD7","IATS",0.362596066275127
"GAD7","IAS",-0.219064718042642
"GAD7","TAS",0.528728463980836
"GAD7","PHQ9",0.823077589983348
"GAD7","GAD7",1
"GAD7","STAI",0.807964889252157
"GAD7","SSS8",0.647429277705524
"GAD7","PCS",0.524048207097985
"STAI","TAS",0.546844355135762
"STAI","STAI",1
"SSS8","TAS",0.408700182163337
"SSS8","STAI",0.570823025700933
"SSS8","SSS8",1
"PCS","TAS",0.314601755000907
"PCS","PHQ9",0.488579350233799
"PCS","STAI",0.49036144862687
"PCS","SSS8",0.447586018496909
"PCS","PCS",1
