"block","label","est","se","ci_lo","ci_hi","p"
"path","IAS -> DIF",-0.303904313511959,0.0322607915490593,-0.36628468044026,-0.24016864704616,0
"path","IAS -> DDF",-0.299428005709893,0.0334987086648484,-0.36593763125715,-0.23258322552327,0
"path","IAS -> EOT",-0.231924428525372,0.0343673558880962,-0.301329013454574,-0.166096955356092,1.49491530265777e-11
"path","DIF -> MH",0.25909966072414,0.0380917274398666,0.181081490335583,0.332899362918744,1.03181907462613e-11
"path","DDF -> MH",0.125239690351945,0.033292769946241,0.061535140197562,0.191118781020315,0.000168716231881971
"path","EOT -> MH",-0.030143547722405,0.0241408809817336,-0.0771198935960746,0.0174252011443855,0.211792560001055
"path","Somatic -> MH",0.535427075947475,0.0303909355361624,0.473238030064405,0.59498357606213,0
"indirect","IAS -> DIF -> MH",-0.0787415045235514,0.015018862328021,-0.11003119024222,-0.0510335410308192,1.58122944515782e-07
"indirect","IAS -> DDF -> MH",-0.0375002707178073,0.0108761853380838,-0.0600170286851678,-0.0172269098675958,0.000564910995894508
"indirect","IAS -> EOT -> MH",0.00699102507924606,0.00566943103875036,-0.00399988341184313,0.0182975770480911,0.217535189558829
"indirect","IAS -> Somatic -> MH",-0.050129732243633,0.0183144679018544,-0.0843691786019691,-0.01307484336163,0.0061971081266976
"indirect","IAS -> all 3 facets -> MH",-0.109250750162113,0.0154685850329107,-0.140620033097859,-0.079842647466092,1.63247193540883e-12
"share","DIF",63.8965472818081,8.67125168151832,46.7856483744191,81.0596179263035,NA
"share","DDF",30.4304297396845,7.95822495036763,14.5618467108696,46.4557093355013,NA
"share","EOT",5.67302297850741,3.50837877307073,0.347518242721854,13.431451617334,NA
